Shares,Symbol,Client
"1000","DIS","Bill Gates"
"950","EDS","Ben Graham"
"25000","WMT","Warren Buffet"
"3250","AMR","Jeff Bezos"
"775","TSG","Wendi Deng"
"400","HBC","Stephen Covey"
"2100","HIG","Richard Branson"
"950","TEM","Sergey Brin"
"1500","AGE","Michael Bloomberg"
"5000","BAC","Donald Trump"
"3333","PRU","Steve Wynn"
"2000","ABN","Jack Welch"
"8500","RNT","George Soros"
"1000","MCK","Kerry Packer"
"4300","UNH","Rupert Murdoch"
"9000","SDS","Jesse Livermore"
"3500","SNE","Alan Greenspan"
"825","ABT","Lakshmi Mittal"
"9000","ABY","Robert Kiyosaki"
"855","ADS","Lisa Mangino"
"50","IBM","Rick Haines"
"90","SUN","Amrita Thakur"


