10499	LILA-Supermercado	Peacock, Margaret	1997-04-16 00:00:00.0	102.02
10500	La maison dAsie	Suyama, Michael	1997-04-17 00:00:00.0	42.68
10501	Blauer See Delikatessen	Dodsworth, Anne	1997-04-16 00:00:00.0	8.85
10502	Pericles Comidas clacas	Fuller, Andrew	1997-04-29 00:00:00.0	69.32
10503	Hungry Owl All-Night Grocers	Suyama, Michael	1997-04-16 00:00:00.0	16.74
10504	White Clover Markets	Peacock, Margaret	1997-04-18 00:00:00.0	59.13
10505	Me Paillarde	Leverling, Janet	1997-04-21 00:00:00.0	7.13
10506	Kolich Essen	Dodsworth, Anne	1997-05-02 00:00:00.0	21.19
10507	Antonio Moreno Taqueria	King, Robert	1997-04-22 00:00:00.0	47.45
10508	Ottilies Kaladen	Davolio, Nancy	1997-05-13 00:00:00.0	4.99
10509	Blauer See Delikatessen	Peacock, Margaret	1997-04-29 00:00:00.0	0.15
10510	Save-a-lot Markets	Suyama, Michael	1997-04-28 00:00:00.0	367.63
10511	Bon app	Peacock, Margaret	1997-04-21 00:00:00.0	350.64
10512	Familia Arquibaldo	King, Robert	1997-04-24 00:00:00.0	3.53
10513	Die Wandernde Kuh	King, Robert	1997-04-28 00:00:00.0	105.65
10514	Ernst Handel	Leverling, Janet	1997-05-16 00:00:00.0	789.95
10515	QUICK-Stop	Fuller, Andrew	1997-05-23 00:00:00.0	204.47
10516	Hungry Owl All-Night Grocers	Fuller, Andrew	1997-05-01 00:00:00.0	62.78
10517	North/South	Leverling, Janet	1997-04-29 00:00:00.0	32.07
10518	Tortuga Restaurante	Peacock, Margaret	1997-05-05 00:00:00.0	218.15
10519	Chop-suey Chinese	Suyama, Michael	1997-05-01 00:00:00.0	91.76
10520	Santeourmet	King, Robert	1997-05-01 00:00:00.0	13.37
10521	Cactus Comidas para llevar	Callahan, Laura	1997-05-02 00:00:00.0	17.22
10522	Lehmanns Marktstand	Peacock, Margaret	1997-05-06 00:00:00.0	45.33
10523	Seven Seas Imports	King, Robert	1997-05-30 00:00:00.0	77.63
10524	Berglunds snabbkop	Davolio, Nancy	1997-05-07 00:00:00.0	244.79
10525	Bon app	Davolio, Nancy	1997-05-23 00:00:00.0	11.06
10526	Wartian Herkku	Peacock, Margaret	1997-05-15 00:00:00.0	58.59
10527	QUICK-Stop	King, Robert	1997-05-07 00:00:00.0	41.90
10528	Great Lakes Food Market	Suyama, Michael	1997-05-09 00:00:00.0	3.35
10529	Maison Dewey	Buchanan, Steven	1997-05-09 00:00:00.0	66.69
10530	Piccolo und mehr	Leverling, Janet	1997-05-12 00:00:00.0	339.22
10531	Oceo Atlaico Ltda.	King, Robert	1997-05-19 00:00:00.0	8.12
10532	Eastern Connection	King, Robert	1997-05-12 00:00:00.0	74.46
10533	Folk och faB	Callahan, Laura	1997-05-22 00:00:00.0	188.04
10534	Lehmanns Marktstand	Callahan, Laura	1997-05-14 00:00:00.0	27.94
